[generator] Loaded 690 enriched chunks
[generator] Chapter filter ['A', 'B', 'C'] → 48 chunks
[generator] Backend: ollama  Machine: mac  Seed: 42  Workers: 1
[generator] Scheduled 390 tasks → target 300 pairs  (+30 % buffer for filter rate)

[generator] 0 already done, 390 pending

  [262/390] C-38 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [263/390] C-20 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [264/390] C-37 procedural ... FILTERED (thinking trace does not cite a paragraph ID)
  [265/390] C-18 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [266/390] C-35 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [267/390] C-4 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [268/390] C-27 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [269/390] C-39 applied_reasoning ... FILTERED (thinking trace does not cite a paragraph ID)
  [270/390] C-24 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [271/390] C-6 multi_domain ... FILTERED (thinking trace does not cite a paragraph ID)
  [272/390] C-5 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [273/390] C-34 factual ... FILTERED (thinking trace does not cite a paragraph ID)
  [274/390] C-38 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [275/390] B-1 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [276/390] C-19 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [277/390] C-29 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [278/390] B-2 comparative ... FILTERED (thinking trace does not cite a paragraph ID)
  [279/390] C-26 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [280/390] C-35 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [281/390] B-2 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
  [282/390] B-4 product_generation ... FILTERED (thinking trace does not cite a paragraph ID)
  [283/390] C-6 echelon_specific ... FILTERED (thinking trace does not cite a paragraph ID)
